q_type	len_type	user	expUserID	game_type	usr_type	duration	id	game_id	slang	tlang	score	task_num	slack	total	divref0	divref1	divref2	divsrc0	divsrc1	divsrc2	divtrn0	divref-divref	divref-divsrc	divref-divtrn	divsrc-divref	divsrc-divsrc	divsrc-divtrn	divtrn-divref	divtrn-divsrc	divtrn-divtrn
min	long	user6	6	tgt	yes	30.84	6	6_797	es	en	8	11	9.61	21.23	1.18	17.46	2.59	0.00	0.00	0.00	0.00	98	0	0	0	0	0	0	0	0
min	long	user6	6	tgt	yes	12.38	1327	6_797	es	en	50	12	4.15	8.23	0.00	8.23	0.00	0.00	0.00	0.00	0.00	140	0	0	0	0	0	0	0	0
min	long	user6	6	tgt	yes	26.90	1656	6_797	es	en	77	13	1.36	25.54	0.00	20.85	0.00	0.00	0.00	0.00	4.69	104	0	1	0	0	0	1	0	22
min	short	user6	6	tgt	yes	91.81	2830	6_797	es	en	66	14	8.48	83.33	50.32	22.65	10.36	0.00	0.00	0.00	0.00	656	0	0	0	0	0	0	0	0
min	short	user6	6	tgt	yes	35.54	1149	6_797	es	en	18	15	6.70	28.84	9.17	19.37	0.00	0.00	0.00	0.00	0.30	249	0	1	0	0	0	0	0	0
min	short	user6	6	tgt	yes	13.53	973	6_797	es	en	11	16	11.40	2.13	0.00	0.00	0.00	0.00	0.00	0.00	2.13	0	0	0	0	0	0	0	0	14
min	short	user6	6	tgt	yes	20.67	2108	6_797	es	en	21	17	10.45	10.23	9.42	0.10	0.70	0.00	0.00	0.00	0.00	29	0	0	0	0	0	0	0	0
min	mid	user6	6	tgt	yes	27.46	1589	6_797	es	en	13	18	18.93	8.53	7.76	0.77	0.00	0.00	0.00	0.00	0.00	69	0	0	0	0	0	0	0	0
min	mid	user6	6	tgt	yes	44.29	607	6_797	es	en	81	19	8.35	35.94	21.58	13.83	0.53	0.00	0.00	0.00	0.00	229	0	0	0	0	0	0	0	0
min	mid	user6	6	tgt	yes	49.48	1501	6_797	es	en	17	20	4.85	44.63	11.95	31.11	1.56	0.00	0.00	0.00	0.00	279	0	0	0	0	0	0	0	0
max	short	user7	7	src	no	15.80	342	7_697	es	en	88	1	14.67	1.13	0.00	0.00	0.00	0.00	0.47	0.67	0.00	0	0	0	0	20	0	0	0	0
max	long	user7	7	src	no	39.59	86	7_697	es	en	83	2	5.13	34.46	0.00	0.00	0.00	2.68	13.52	17.22	1.03	0	0	0	0	364	1	0	1	0
max	long	user7	7	src	no	26.41	2418	7_697	es	en	38	3	2.61	23.80	0.00	0.00	0.00	4.38	5.73	11.86	1.84	0	0	0	0	211	1	0	0	19
max	long	user7	7	src	no	39.08	2701	7_697	es	en	90	4	2.15	36.93	0.00	0.00	0.00	0.00	26.69	9.05	1.20	0	0	0	0	528	1	0	1	22
max	short	user7	7	src	no	17.21	2990	7_697	es	en	50	5	2.12	15.09	0.00	0.00	0.00	0.00	14.56	0.00	0.53	0	0	0	0	211	1	0	0	8
max	short	user7	7	src	no	14.51	2056	7_697	es	en	93	6	1.53	12.98	0.00	0.00	0.00	1.97	10.09	0.19	0.74	0	0	0	0	132	1	0	0	1
max	short	user7	7	src	no	16.11	353	7_697	es	en	50	7	4.82	11.29	0.00	0.00	0.00	2.40	5.05	3.84	0.00	0	0	0	0	128	0	0	0	0
max	mid	user7	7	src	no	34.78	2453	7_697	es	en	93	8	1.43	33.35	0.00	0.00	0.00	0.00	16.77	13.49	3.10	0	0	0	0	341	1	0	0	14
max	mid	user7	7	src	no	33.58	2709	7_697	es	en	93	9	2.04	31.54	0.00	0.00	0.00	1.80	22.88	5.43	1.43	0	0	0	0	441	1	0	1	27
max	mid	user7	7	src	no	26.16	94	7_697	es	en	81	10	6.41	19.75	0.00	0.00	0.00	6.00	12.52	1.23	0.00	0	0	0	0	183	0	0	0	0
min	long	user7	7	src	no	28.18	354	7_697	es	en	58	11	2.01	26.17	0.00	0.00	0.00	1.34	10.15	11.48	3.20	0	0	0	0	296	1	0	0	71
min	long	user7	7	src	no	35.56	1414	7_697	es	en	70	12	1.69	33.87	0.00	0.00	0.00	0.00	18.92	13.09	1.86	0	0	0	0	386	1	0	0	52
min	long	user7	7	src	no	45.39	83	7_697	es	en	50	13	3.43	41.96	0.00	0.00	0.00	3.12	32.69	6.14	0.00	0	0	0	0	405	0	0	0	0
min	short	user7	7	src	no	22.30	1010	7_697	es	en	78	14	3.28	19.02	0.00	0.00	0.00	2.54	10.89	5.29	0.30	0	0	0	0	165	1	0	0	0
min	short	user7	7	src	no	23.26	1009	7_697	es	en	40	15	3.44	19.82	0.00	0.00	0.00	4.53	10.53	4.76	0.00	0	0	0	0	283	0	0	0	0
min	mid	user7	7	src	no	21.60	2949	7_697	es	en	38	16	4.03	17.57	0.00	0.00	0.00	0.00	10.62	6.95	0.00	0	0	0	0	210	0	0	0	0
min	mid	user7	7	src	no	28.36	340	7_697	es	en	68	17	6.33	22.03	0.00	0.00	0.00	1.47	13.07	7.49	0.00	0	0	0	0	303	0	0	0	0
min	mid	user7	7	src	no	17.19	1851	7_697	es	en	50	18	2.14	15.05	0.00	0.00	0.00	0.00	13.99	0.00	1.07	0	0	0	0	162	1	0	0	4
min	short	user7	7	src	no	10.35	215	7_697	es	en	91	19	1.79	8.56	0.00	0.00	0.00	5.03	0.90	2.63	0.00	0	0	0	0	19	0	0	0	0
min	mid	user7	7	src	no	26.95	1600	7_697	es	en	72	20	3.47	23.48	0.00	0.00	0.00	2.46	4.93	13.62	2.47	0	0	0	0	118	1	0	0	3
max	long	user7	7	src+tgt	no	46.29	1331	7_98	es	en	50	1	3.69	42.60	0.27	5.79	0.60	3.13	23.15	9.66	0.00	110	9	0	8	409	0	0	0	0
max	short	user7	7	src+tgt	no	21.57	2969	7_98	es	en	87	2	5.86	15.71	0.00	1.27	0.00	2.02	9.02	3.40	0.00	18	2	0	2	68	0	0	0	0
max	long	user7	7	src+tgt	no	30.77	2085	7_98	es	en	50	3	1.79	28.98	0.00	8.53	3.90	0.00	10.86	4.26	1.43	152	7	0	7	105	1	0	0	29
max	long	user7	7	src+tgt	no	30.97	341	7_98	es	en	15	4	1.96	29.01	0.00	8.95	0.00	1.64	12.32	5.06	1.03	138	5	0	5	105	1	0	0	15
max	long	user7	7	src+tgt	no	32.04	747	7_98	es	en	25	5	2.87	29.17	0.00	7.23	0.83	0.00	16.38	3.99	0.74	145	8	0	8	189	1	0	0	16
max	short	user7	7	src+tgt	no	15.11	1654	7_98	es	en	94	6	8.98	6.13	0.00	0.67	0.00	0.00	2.59	2.87	0.00	7	1	0	0	52	0	0	0	0
max	short	user7	7	src+tgt	no	24.29	2840	7_98	es	en	85	7	1.61	22.68	0.00	4.85	0.40	1.43	6.53	7.30	2.17	85	6	0	6	53	1	0	1	25
max	mid	user7	7	src+tgt	no	20.54	1588	7_98	es	en	90	8	3.50	17.04	0.00	4.48	0.00	1.57	6.00	5.00	0.00	73	4	0	4	89	0	0	0	0
max	mid	user7	7	src+tgt	no	20.96	1071	7_98	es	en	50	9	3.64	17.32	0.00	2.96	1.93	0.00	7.21	5.23	0.00	59	3	0	4	104	0	0	0	0
max	mid	user7	7	src+tgt	no	15.44	403	7_98	es	en	94	10	3.42	12.02	0.00	0.97	0.37	0.00	6.72	3.96	0.00	25	1	0	2	65	0	0	0	0
min	long	user7	7	src+tgt	no	29.31	6	7_98	es	en	25	11	1.74	27.57	0.00	3.10	4.97	0.00	10.13	7.71	1.66	115	4	1	4	201	2	1	1	9
min	long	user7	7	src+tgt	no	44.15	1327	7_98	es	en	39	12	1.58	42.57	0.00	8.77	1.59	4.23	9.63	18.05	0.30	153	8	0	8	245	1	0	0	0
min	long	user7	7	src+tgt	no	24.75	1656	7_98	es	en	24	13	1.26	23.49	0.00	10.03	0.00	0.00	4.90	7.16	1.40	65	4	0	4	96	1	0	0	27
min	short	user7	7	src+tgt	no	16.96	2830	7_98	es	en	97	14	10.10	6.86	0.00	1.90	0.00	0.27	3.66	1.03	0.00	1	1	0	1	35	0	0	0	0
min	short	user7	7	src+tgt	no	11.10	1149	7_98	es	en	20	15	6.13	4.97	0.00	2.67	0.00	0.00	0.00	2.30	0.00	9	1	0	0	7	0	0	0	0
min	short	user7	7	src+tgt	no	7.32	973	7_98	es	en	15	16	4.82	2.50	0.00	0.00	0.00	0.00	0.30	2.20	0.00	0	0	0	0	17	0	0	0	0
min	short	user7	7	src+tgt	no	12.73	2108	7_98	es	en	50	17	3.74	8.99	0.00	1.36	0.53	3.63	0.17	3.30	0.00	30	1	0	2	28	0	0	0	0
min	mid	user7	7	src+tgt	no	18.56	1589	7_98	es	en	38	18	2.48	16.08	0.00	3.10	0.00	0.00	5.13	5.96	1.89	25	2	1	3	48	0	0	0	47
min	mid	user7	7	src+tgt	no	21.43	607	7_98	es	en	41	19	3.66	17.77	0.00	4.80	1.36	0.00	7.91	3.70	0.00	87	4	0	4	85	0	0	0	0
min	mid	user7	7	src+tgt	no	32.03	1501	7_98	es	en	31	20	3.49	28.54	0.00	7.03	1.50	0.00	5.39	10.26	4.36	164	7	0	6	126	1	0	0	77
max	long	user7	7	tgt	no	32.07	1700	7_1161	es	en	80	1	1.40	30.67	3.33	17.48	9.56	0.00	0.00	0.00	0.30	167	0	1	0	0	0	0	0	0
max	long	user7	7	tgt	no	36.23	939	7_1161	es	en	50	2	1.84	34.39	0.00	23.19	3.22	0.00	0.00	0.00	7.98	113	0	1	0	0	0	1	0	16
max	long	user7	7	tgt	no	42.14	2738	7_1161	es	en	71	3	3.63	38.51	0.00	21.51	14.82	0.00	0.00	0.00	2.17	205	0	1	0	0	0	0	0	15
max	short	user7	7	tgt	no	15.64	1124	7_1161	es	en	50	4	3.42	12.22	0.00	9.86	0.00	0.00	0.00	0.00	2.36	28	0	0	0	0	0	1	0	1
max	short	user7	7	tgt	no	18.38	37	7_1161	es	en	92	5	12.69	5.69	0.00	5.69	0.00	0.00	0.00	0.00	0.00	43	0	0	0	0	0	0	0	0
max	mid	user7	7	tgt	no	31.38	1800	7_1161	es	en	87	6	4.50	26.88	0.00	26.58	0.00	0.00	0.00	0.00	0.30	69	0	1	0	0	0	0	0	0
max	short	user7	7	tgt	no	16.36	662	7_1161	es	en	85	7	4.57	11.79	0.00	0.00	5.12	0.00	0.00	0.00	6.68	14	0	1	0	0	0	0	0	16
max	mid	user7	7	tgt	no	17.44	448	7_1161	es	en	50	8	4.52	12.92	0.00	12.19	0.00	0.00	0.00	0.00	0.74	48	0	1	0	0	0	0	0	8
max	mid	user7	7	tgt	no	27.85	475	7_1161	es	en	75	9	3.77	24.08	0.00	22.55	0.00	0.00	0.00	0.00	1.53	46	0	1	0	0	0	0	0	19
max	mid	user7	7	tgt	no	37.31	2004	7_1161	es	en	95	10	5.07	32.24	0.00	19.59	12.35	0.00	0.00	0.00	0.30	178	0	1	0	0	0	0	0	0
min	long	user7	7	tgt	no	24.17	1099	7_1161	es	en	38	11	1.55	22.62	0.00	17.15	0.00	0.00	0.00	0.00	5.47	91	0	1	0	0	0	1	0	52
min	long	user7	7	tgt	no	31.86	2250	7_1161	es	en	75	12	3.15	28.71	0.00	23.81	0.27	0.00	0.00	0.00	4.63	118	0	1	0	0	0	0	0	30
min	long	user7	7	tgt	no	26.54	625	7_1161	es	en	37	13	3.26	23.28	0.00	16.72	0.00	0.00	0.00	0.00	6.56	35	0	1	0	0	0	0	0	50
min	short	user7	7	tgt	no	9.27	84	7_1161	es	en	50	14	3.97	5.30	0.00	5.30	0.00	0.00	0.00	0.00	0.00	22	0	0	0	0	0	0	0	0
min	long	user7	7	tgt	no	30.21	1750	7_1161	es	en	23	15	3.20	27.01	0.00	23.97	0.47	0.00	0.00	0.00	2.57	111	0	2	0	0	0	1	0	40
min	short	user7	7	tgt	no	18.99	2312	7_1161	es	en	39	16	4.73	14.26	0.00	11.32	0.00	0.00	0.00	0.00	2.93	64	0	1	0	0	0	0	0	39
min	short	user7	7	tgt	no	13.97	2707	7_1161	es	en	25	17	4.04	9.93	0.00	8.99	0.00	0.00	0.00	0.00	0.93	15	0	1	0	0	0	0	0	21
min	mid	user7	7	tgt	no	11.25	986	7_1161	es	en	20	18	8.88	2.37	0.00	0.00	0.00	0.00	0.00	0.00	2.37	0	0	0	0	0	0	0	0	36
min	mid	user7	7	tgt	no	22.08	2908	7_1161	es	en	28	19	3.46	18.62	0.00	15.65	1.00	0.00	0.00	0.00	1.96	55	0	1	0	0	0	0	0	34
min	mid	user7	7	tgt	no	14.10	2970	7_1161	es	en	26	20	0.92	13.18	0.00	5.46	0.00	0.00	0.00	0.00	7.72	28	0	2	0	0	0	2	0	34
max	long	user8	8	src	yes	24.81	1331	8_1	es	en	52	1	2.26	22.55	0.00	0.00	0.00	0.00	8.29	7.86	6.39	0	0	0	0	177	2	0	2	153
max	short	user8	8	src	yes	9.90	2969	8_1	es	en	50	2	6.16	3.74	0.00	0.00	0.00	0.95	1.84	0.94	0.00	0	0	0	0	34	0	0	0	0
max	long	user8	8	src	yes	10.99	2085	8_1	es	en	100	3	0.87	10.12	0.00	0.00	0.00	0.83	2.57	3.86	2.85	0	0	0	0	67	1	0	1	62
max	long	user8	8	src	yes	14.01	341	8_1	es	en	100	4	2.89	11.12	0.00	0.00	0.00	1.92	5.46	2.04	1.70	0	0	0	0	150	1	0	0	38
max	long	user8	8	src	yes	13.83	747	8_1	es	en	100	5	2.04	11.79	0.00	0.00	0.00	0.10	5.80	4.79	1.10	0	0	0	0	182	1	0	0	25
max	short	user8	8	src	yes	10.07	1654	8_1	es	en	100	6	5.38	4.69	0.00	0.00	0.00	0.00	3.66	0.00	1.03	0	0	0	0	40	1	0	1	11
max	short	user8	8	src	yes	11.47	2840	8_1	es	en	100	7	1.88	9.59	0.00	0.00	0.00	0.00	7.99	0.27	1.33	0	0	0	0	81	1	0	0	38
max	mid	user8	8	src	yes	10.03	1588	8_1	es	en	100	8	3.94	6.09	0.00	0.00	0.00	0.00	5.29	0.00	0.80	0	0	0	0	61	1	0	0	14
max	mid	user8	8	src	yes	21.66	1071	8_1	es	en	47	9	5.57	16.09	0.00	0.00	0.00	0.72	7.24	2.53	5.59	0	0	0	0	120	1	0	2	2
max	mid	user8	8	src	yes	13.38	403	8_1	es	en	100	10	3.92	9.46	0.00	0.00	0.00	2.57	3.73	3.16	0.00	0	0	0	0	97	0	0	0	0
min	long	user8	8	src	yes	16.94	6	8_1	es	en	52	11	1.62	15.32	0.00	0.00	0.00	0.00	9.36	3.30	2.67	0	0	0	0	150	1	0	0	43
min	long	user8	8	src	yes	13.40	1327	8_1	es	en	100	12	5.97	7.43	0.00	0.00	0.00	2.10	4.13	1.20	0.00	0	0	0	0	148	0	0	0	0
min	long	user8	8	src	yes	27.58	1656	8_1	es	en	100	13	2.11	25.47	0.00	0.00	0.00	3.56	11.93	8.36	1.62	0	0	0	0	246	2	0	2	41
min	short	user8	8	src	yes	10.17	2830	8_1	es	en	100	14	3.68	6.49	0.00	0.00	0.00	2.82	1.57	0.16	1.93	0	0	0	0	60	1	0	1	8
min	short	user8	8	src	yes	12.48	1149	8_1	es	en	84	15	5.26	7.22	0.00	0.00	0.00	0.00	5.73	0.40	1.09	0	0	0	0	109	1	0	0	28
min	short	user8	8	src	yes	9.65	973	8_1	es	en	100	16	6.65	3.00	0.00	0.00	0.00	0.00	0.47	2.53	0.00	0	0	0	0	8	0	0	0	0
min	short	user8	8	src	yes	13.95	2108	8_1	es	en	50	17	5.66	8.29	0.00	0.00	0.00	2.10	3.06	3.13	0.00	0	0	0	0	75	0	0	0	0
min	mid	user8	8	src	yes	13.27	1589	8_1	es	en	50	18	3.85	9.42	0.00	0.00	0.00	0.00	9.12	0.00	0.30	0	0	0	0	153	1	0	0	1
min	mid	user8	8	src	yes	13.55	607	8_1	es	en	50	19	1.23	12.32	0.00	0.00	0.00	1.49	5.83	4.37	0.63	0	0	0	0	163	1	0	0	12
min	mid	user8	8	src	yes	16.82	1501	8_1	es	en	34	20	1.73	15.09	0.00	0.00	0.00	0.86	4.31	6.32	3.60	0	0	0	0	163	1	0	0	42
max	long	user8	8	src+tgt	yes	18.30	1700	8_628	es	en	100	1	3.98	14.32	2.46	0.00	0.00	0.70	3.40	4.33	3.43	0	0	1	0	74	1	1	0	76
max	long	user8	8	src+tgt	yes	23.29	939	8_628	es	en	26	2	2.81	20.48	0.00	0.00	0.00	0.06	10.87	6.29	3.26	0	0	0	0	194	1	0	1	39
max	long	user8	8	src+tgt	yes	27.37	2738	8_628	es	en	98	3	3.76	23.61	0.00	1.33	0.00	1.24	8.72	10.76	1.56	13	0	1	1	239	1	0	1	55
max	short	user8	8	src+tgt	yes	10.40	1124	8_628	es	en	30	4	4.47	5.93	0.00	0.00	0.00	1.00	0.30	3.87	0.76	0	0	0	0	29	0	0	1	0
max	short	user8	8	src+tgt	yes	13.61	37	8_628	es	en	35	5	2.92	10.69	0.00	0.00	0.00	4.46	2.10	4.13	0.00	0	0	0	0	140	0	0	0	0
max	mid	user8	8	src+tgt	yes	18.79	1800	8_628	es	en	100	6	1.83	16.96	0.00	1.77	0.00	0.00	7.59	7.60	0.00	9	1	0	1	192	0	0	0	0
max	short	user8	8	src+tgt	yes	10.02	662	8_628	es	en	91	7	3.13	6.89	0.00	0.00	0.00	0.00	4.66	0.50	1.73	0	0	0	0	51	1	0	1	5
max	mid	user8	8	src+tgt	yes	16.29	448	8_628	es	en	96	8	1.87	14.42	0.00	0.00	0.00	1.03	8.76	3.23	1.40	0	0	0	0	190	1	0	0	18
max	mid	user8	8	src+tgt	yes	14.54	475	8_628	es	en	91	9	1.82	12.72	0.00	0.00	0.00	0.33	9.29	2.00	1.10	0	0	0	0	138	2	0	1	24
max	mid	user8	8	src+tgt	yes	22.28	2004	8_628	es	en	90	10	2.03	20.25	1.30	0.50	0.30	1.77	9.29	5.73	1.37	27	3	0	3	217	1	0	0	39
min	long	user8	8	src+tgt	yes	8.97	1099	8_628	es	en	50	11	1.95	7.02	0.00	0.00	0.13	1.06	3.03	2.79	0.00	2	1	0	1	67	0	0	0	0
min	long	user8	8	src+tgt	yes	17.67	2250	8_628	es	en	29	12	8.38	9.29	0.00	0.00	0.00	0.00	5.76	3.53	0.00	0	0	0	0	153	0	0	0	0
min	long	user8	8	src+tgt	yes	21.92	625	8_628	es	en	50	13	4.77	17.15	0.00	0.33	0.00	0.00	5.13	9.33	2.36	5	1	0	1	164	2	0	1	20
min	short	user8	8	src+tgt	yes	13.15	84	8_628	es	en	44	14	4.96	8.19	0.47	0.00	0.00	0.03	0.37	7.32	0.00	1	1	0	1	8	0	0	0	0
min	long	user8	8	src+tgt	yes	24.54	1750	8_628	es	en	16	15	1.09	23.45	0.00	0.00	0.00	0.40	11.73	11.02	0.30	0	0	0	0	332	1	0	0	1
min	short	user8	8	src+tgt	yes	22.12	2312	8_628	es	en	50	16	5.84	16.28	0.00	0.00	0.00	0.00	9.78	6.49	0.00	0	0	0	0	231	0	0	0	0
min	short	user8	8	src+tgt	yes	16.33	2707	8_628	es	en	34	17	4.04	12.29	0.97	0.00	0.00	4.53	3.22	3.56	0.00	20	1	0	1	204	0	0	0	0
min	mid	user8	8	src+tgt	yes	14.00	986	8_628	es	en	50	18	4.70	9.30	0.00	0.00	0.00	0.02	7.54	1.74	0.00	0	0	0	0	63	0	0	0	0
min	mid	user8	8	src+tgt	yes	12.05	2908	8_628	es	en	17	19	4.02	8.03	0.00	0.00	0.00	0.00	4.46	3.56	0.00	0	0	0	0	152	0	0	0	0
min	mid	user8	8	src+tgt	yes	7.79	2970	8_628	es	en	50	20	3.59	4.20	0.00	0.00	0.47	0.00	1.83	1.90	0.00	7	0	0	1	50	0	0	0	0
max	short	user8	8	tgt	yes	10.07	342	8_1078	es	en	30	1	9.41	0.67	0.67	0.00	0.00	0.00	0.00	0.00	0.00	13	0	0	0	0	0	0	0	0
max	long	user8	8	tgt	yes	20.18	86	8_1078	es	en	65	2	6.49	13.69	10.72	2.10	0.86	0.00	0.00	0.00	0.00	45	0	0	0	0	0	0	0	0
max	long	user8	8	tgt	yes	24.68	2418	8_1078	es	en	41	3	6.23	18.45	2.86	0.00	15.59	0.00	0.00	0.00	0.00	47	0	0	0	0	0	0	0	0
max	long	user8	8	tgt	yes	17.33	2701	8_1078	es	en	40	4	4.16	13.17	4.06	0.47	0.00	0.00	0.00	0.00	8.64	8	0	0	0	0	0	1	0	9
max	short	user8	8	tgt	yes	3.02	2990	8_1078	es	en	50	5	2.62	0.40	0.00	0.00	0.00	0.00	0.00	0.00	0.40	0	0	0	0	0	0	0	0	4
max	short	user8	8	tgt	yes	5.62	2056	8_1078	es	en	50	6	5.29	0.33	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0	0	0	0	0	0	0	0	1
max	short	user8	8	tgt	yes	8.58	353	8_1078	es	en	24	7	8.28	0.30	0.00	0.00	0.00	0.00	0.00	0.00	0.30	0	0	0	0	0	0	0	0	0
max	mid	user8	8	tgt	yes	10.05	2453	8_1078	es	en	100	8	5.09	4.96	0.00	0.00	2.43	0.00	0.00	0.00	2.53	11	0	1	0	0	0	0	0	67
max	mid	user8	8	tgt	yes	15.47	2709	8_1078	es	en	99	9	9.01	6.46	0.00	6.16	0.00	0.00	0.00	0.00	0.30	27	0	1	0	0	0	0	0	0
max	mid	user8	8	tgt	yes	15.63	94	8_1078	es	en	86	10	6.07	9.56	0.00	7.63	0.00	0.00	0.00	0.00	1.93	33	0	1	0	0	0	0	0	15
min	long	user8	8	tgt	yes	19.55	354	8_1078	es	en	93	11	5.73	13.82	0.49	5.94	6.36	0.00	0.00	0.00	1.03	79	0	1	0	0	0	0	0	26
min	long	user8	8	tgt	yes	17.57	1414	8_1078	es	en	71	12	6.51	11.06	0.00	10.09	0.96	0.00	0.00	0.00	0.00	20	0	0	0	0	0	0	0	0
min	long	user8	8	tgt	yes	22.11	83	8_1078	es	en	23	13	11.56	10.55	0.00	3.07	0.00	0.00	0.00	0.00	7.48	24	0	1	0	0	0	1	0	49
min	short	user8	8	tgt	yes	8.83	1010	8_1078	es	en	79	14	7.43	1.40	0.00	0.00	0.00	0.00	0.00	0.00	1.40	0	0	0	0	0	0	0	0	26
min	short	user8	8	tgt	yes	7.86	1009	8_1078	es	en	9	15	5.43	2.43	0.00	2.13	0.00	0.00	0.00	0.00	0.30	14	0	1	0	0	0	0	0	0
min	mid	user8	8	tgt	yes	15.48	2949	8_1078	es	en	0	16	4.86	10.62	0.00	7.52	2.80	0.00	0.00	0.00	0.30	32	0	1	0	0	0	0	0	0
min	mid	user8	8	tgt	yes	20.82	340	8_1078	es	en	68	17	8.20	12.62	0.00	9.16	3.46	0.00	0.00	0.00	0.00	82	0	0	0	0	0	0	0	0
min	mid	user8	8	tgt	yes	11.53	1851	8_1078	es	en	17	18	11.23	0.30	0.00	0.00	0.00	0.00	0.00	0.00	0.30	0	0	0	0	0	0	0	0	0
min	short	user8	8	tgt	yes	7.31	215	8_1078	es	en	15	19	3.22	4.09	0.00	0.00	0.00	0.00	0.00	0.00	4.09	0	0	0	0	0	0	0	0	4
min	mid	user8	8	tgt	yes	11.04	1600	8_1078	es	en	13	20	5.68	5.36	0.00	0.90	3.43	0.00	0.00	0.00	1.03	24	0	1	0	0	0	1	0	2
max	long	user9	9	src	no	44.07	1099	9_485	es	en	59	1	3.44	40.63	0.00	0.00	0.00	1.43	26.08	2.50	10.62	0	0	0	0	425	1	0	0	269
max	long	user9	9	src	no	62.39	2250	9_485	es	en	45	2	9.10	53.29	0.00	0.00	0.00	0.00	39.33	5.46	8.49	0	0	0	0	706	3	0	2	126
max	long	user9	9	src	no	45.95	625	9_485	es	en	40	3	2.18	43.77	0.00	0.00	0.00	0.00	24.13	11.59	8.04	0	0	0	0	304	2	0	1	136
max	short	user9	9	src	no	35.96	84	9_485	es	en	35	4	2.72	33.24	0.00	0.00	0.00	2.86	11.66	5.73	12.99	0	0	0	0	187	1	0	0	281
max	long	user9	9	src	no	69.80	1750	9_485	es	en	35	5	1.49	68.31	0.00	0.00	0.00	0.00	43.43	18.22	6.67	0	0	0	0	842	3	0	2	84
max	short	user9	9	src	no	47.25	2312	9_485	es	en	40	6	1.49	45.76	0.00	0.00	0.00	2.17	24.78	10.36	8.46	0	0	0	0	370	1	0	1	32
max	short	user9	9	src	no	18.87	2707	9_485	es	en	55	7	3.35	15.52	0.00	0.00	0.00	0.00	10.56	0.00	4.96	0	0	0	0	143	1	0	0	119
max	mid	user9	9	src	no	36.77	986	9_485	es	en	60	8	7.76	29.01	0.00	0.00	0.00	0.00	12.45	5.36	11.19	0	0	0	0	114	3	0	2	152
max	mid	user9	9	src	no	34.47	2908	9_485	es	en	85	9	3.64	30.83	0.00	0.00	0.00	0.00	19.41	2.70	8.72	0	0	0	0	291	2	0	1	148
max	mid	user9	9	src	no	28.87	2970	9_485	es	en	40	10	6.82	22.05	0.00	0.00	0.00	0.00	6.96	6.63	8.46	0	0	0	0	152	1	0	0	238
min	long	user9	9	src	no	41.30	125	9_485	es	en	35	11	1.79	39.51	0.00	0.00	0.00	0.00	32.01	1.80	5.70	0	0	0	0	516	1	0	0	99
min	long	user9	9	src	no	59.73	2699	9_485	es	en	40	12	1.51	58.22	0.00	0.00	0.00	7.99	24.82	8.89	16.52	0	0	0	0	847	2	0	1	361
min	long	user9	9	src	no	49.75	2367	9_485	es	en	40	13	1.18	48.57	0.00	0.00	0.00	0.00	35.91	5.77	6.89	0	0	0	0	702	1	0	0	159
min	short	user9	9	src	no	24.20	1590	9_485	es	en	25	14	2.62	21.58	0.00	0.00	0.00	0.00	3.46	14.02	4.10	0	0	0	0	261	3	0	2	21
min	short	user9	9	src	no	23.48	1057	9_485	es	en	30	15	6.86	16.62	0.00	0.00	0.00	0.00	5.63	7.66	3.33	0	0	0	0	203	3	0	3	47
min	mid	user9	9	src	no	23.62	479	9_485	es	en	20	16	3.50	20.12	0.00	0.00	0.00	0.00	7.13	4.60	8.40	0	0	0	0	104	1	0	0	42
min	mid	user9	9	src	no	72.58	1830	9_485	es	en	30	17	3.99	68.59	0.00	0.00	0.00	23.25	17.29	12.71	15.35	0	0	0	0	871	2	0	1	280
min	short	user9	9	src	no	77.98	855	9_485	es	en	65	18	2.36	75.62	0.00	0.00	0.00	2.37	6.06	58.04	9.16	0	0	0	0	937	2	0	1	44
min	mid	user9	9	src	no	38.95	1011	9_485	es	en	20	19	1.88	37.07	0.00	0.00	0.00	0.00	23.98	0.27	12.82	0	0	0	0	276	3	0	3	105
min	mid	user9	9	src	no	32.19	1828	9_485	es	en	35	20	1.27	30.92	0.00	0.00	0.00	0.00	10.67	14.82	5.43	0	0	0	0	212	1	0	0	63
max	long	user9	9	src+tgt	no	49.09	354	9_269	es	en	45	1	3.06	46.03	0.00	6.66	0.00	0.00	13.39	3.80	22.18	3	1	1	2	239	2	0	2	372
max	long	user9	9	src+tgt	no	80.73	1414	9_269	es	en	35	2	2.10	78.63	0.00	6.93	0.00	0.00	39.23	6.66	25.81	21	3	0	3	525	3	0	2	363
max	long	user9	9	src+tgt	no	77.70	83	9_269	es	en	35	3	7.27	70.43	0.00	4.20	0.00	0.00	39.57	18.78	7.88	14	2	0	2	778	1	0	0	157
max	short	user9	9	src+tgt	no	45.29	1010	9_269	es	en	60	4	4.82	40.47	0.00	0.00	1.13	0.00	19.42	14.32	5.59	10	2	0	2	302	3	0	2	102
max	short	user9	9	src+tgt	no	34.17	1009	9_269	es	en	70	5	5.56	28.61	0.00	0.00	2.56	0.00	10.66	1.33	14.06	20	2	0	2	193	2	0	1	75
max	mid	user9	9	src+tgt	no	37.22	2949	9_269	es	en	40	6	2.68	34.54	0.00	1.83	2.10	0.00	4.53	23.58	2.50	28	3	0	3	221	1	0	0	72
